product_code,product_name,input_voltage_min,input_voltage_max,output_frequency_min,output_frequency_max,ambient_temp_min,ambient_temp_max,ip_rating,weight_kg,efficiency_percent
FC-051P2K0T4E20,VLT Micro Drive FC 051 1.5kW,380,480,0,590,-10,50,IP20,3.3,97.1
FC-051P4K0T4E20,VLT Micro Drive FC 051 4.0kW,380,480,0,590,-10,50,IP20,6.9,97.1
FC-051P8K0T4E20,VLT Micro Drive FC 051 7.5kW,380,480,0,590,-10,50,IP20,8.6,97.5
FC-051P15K0T4E20,VLT Micro Drive FC 051 15kW,380,480,0,590,-10,45,IP54,13.1,97.1
FC-051P30K0T4E20,VLT Micro Drive FC 051 30kW,380,480,0,590,-10,45,IP20,28.0,96.1
FC-102P2K0T4E20,VLT HVAC Drive FC 102 1.5kW,380,480,0,590,-10,50,IP54,3.0,96.5
FC-102P4K0T4E20,VLT HVAC Drive FC 102 4.0kW,380,480,0,590,-10,50,IP20,4.5,97.4
FC-102P8K0T4E20,VLT HVAC Drive FC 102 7.5kW,380,480,0,590,-10,50,IP20,9.0,96.9
FC-102P15K0T4E20,VLT HVAC Drive FC 102 15kW,380,480,0,590,-10,45,IP54,16.1,96.4
FC-102P30K0T4E20,VLT HVAC Drive FC 102 30kW,380,480,0,590,-10,45,IP20,27.8,97.6
FC-302P2K0T4E20,VLT AutomationDrive FC 302 1.5kW,380,480,0,590,-10,50,IP20,3.9,96.5
FC-302P4K0T4E20,VLT AutomationDrive FC 302 4.0kW,380,480,0,590,-10,50,IP54,6.0,96.2
FC-302P8K0T4E20,VLT AutomationDrive FC 302 7.5kW,380,480,0,590,-10,50,IP20,8.9,96.1
FC-302P15K0T4E20,VLT AutomationDrive FC 302 15kW,380,480,0,590,-10,45,IP20,13.1,96.8
FC-302P30K0T4E20,VLT AutomationDrive FC 302 30kW,380,480,0,590,-10,45,IP20,28.6,96.3
MCD-201P2K0T4E20,VLT Soft Starter MCD 201 1.5kW,380,480,0,60,-10,50,IP20,3.1,97.9
MCD-201P4K0T4E20,VLT Soft Starter MCD 201 4.0kW,380,480,0,60,-10,50,IP20,7.8,97.7
MCD-201P8K0T4E20,VLT Soft Starter MCD 201 7.5kW,380,480,0,60,-10,50,IP20,9.4,97.5
MCD-201P15K0T4E20,VLT Soft Starter MCD 201 15kW,380,480,0,60,-10,45,IP20,15.7,97.2
MCD-201P30K0T4E20,VLT Soft Starter MCD 201 30kW,380,480,0,60,-10,45,IP54,25.1,96.7
MCD-500P2K0T4E20,VLT Soft Starter MCD 500 1.5kW,380,480,0,60,-10,50,IP20,4.5,97.9
MCD-500P4K0T4E20,VLT Soft Starter MCD 500 4.0kW,380,480,0,60,-10,50,IP54,5.5,96.5
MCD-500P8K0T4E20,VLT Soft Starter MCD 500 7.5kW,380,480,0,60,-10,50,IP54,8.5,96.1
MCD-500P15K0T4E20,VLT Soft Starter MCD 500 15kW,380,480,0,60,-10,45,IP20,13.5,96.1
MCD-500P30K0T4E20,VLT Soft Starter MCD 500 30kW,380,480,0,60,-10,45,IP20,26.6,96.5
